201501 378782 119.179765371060,30.951460018335 119.246248422870,30.937213344770 231371 173385 57986
201501 197021 117.554218040550,32.999103268045 117.395785245210,33.007164279394 231215 143781 87434
201501 211142 117.502215853220,31.875906141862 117.505105073230,31.878363854872 231032 143825 87207
201501 174482 117.258782426120,33.018474072292 117.254881893770,33.018281230896 229516 132188 97328
201501 267150 117.764760280890,32.917348449874 117.928720170370,32.851948291795 228306 131207 97099
201501 312401 118.304048741260,32.481127311607 118.328005830570,32.452407383419 228105 135221 92884
201501 290054 118.216951105120,31.467477951832 118.105904464420,31.547572431217 227904 156581 71323
201501 267740 117.928720170370,32.851948291795 117.929247745200,32.851853431733 227881 130831 97050
201501 94621 116.567010468150,30.584492923437 116.570083122150,30.586087881823 227843 157330 70513
201501 200661 117.431521635010,31.834394518155 117.429723407040,31.832947611057 226812 171415 55397
201501 165528 117.202127285750,31.317586633200 117.204795971760,31.517823875192 225097 153306 71791
201501 151238 117.112908929950,31.984507410746 117.111927531180,32.064288824030 223846 189373 34473
201501 95466 116.574579500550,30.589042848948 116.566910486750,30.584634847128 222457 146494 75963
201501 157722 117.147532948040,31.860100026795 117.147682605740,31.861217280153 222380 187176 35204
201501 177916 117.245523706290,31.794738325721 117.274482920000,31.798935018468 222215 185761 36454
201501 166145 117.204795971760,31.517823875192 117.209418023100,31.626941420193 222029 150880 71149
201501 192664 117.507774028740,31.945109488357 117.365060591690,32.011646989855 221958 134720 87238
201501 165178 117.215223681780,31.631897817073 117.203807206880,31.525203678271 221162 179463 41699
201501 342322 118.555846919780,31.269591523189 118.615897205830,31.158578179315 220326 147824 72502
201501 281656 118.105904464420,31.547572431217 117.996211210800,31.601251618720 219612 149976 69636
201501 129781 116.943638707450,33.713720214026 116.948007077320,33.622867216369 219593 125799 93794
201501 280371 117.996211210800,31.601251618720 117.994217062390,31.601987206221 219183 149624 69559
201501 185950 117.313670240240,31.806972324003 117.316521192440,31.804114904244 218969 185432 33537
201501 323023 118.480976658910,31.342871965271 118.415736412780,31.372418754701 218242 152326 65916
201501 175640 117.209418023100,31.626941420193 117.264106503220,31.717867130263 218149 148145 70004
201501 172208 117.244813865270,31.794097963675 117.245523706290,31.794738325721 217811 182010 35801
201501 352187 118.677599206230,31.644574608915 118.756691413160,31.684922140364 214605 129825 84780
201501 199986 117.428284052120,31.831914223440 117.424554826630,31.831515406629 214540 150998 63542
201501 352133 118.756691413160,31.684922140364 118.755010953040,31.689589358228 214511 129771 84740
201501 337151 118.755010953040,31.689589358228 118.551296104070,31.622096373301 214409 129692 84717
201501 51009 116.119414835930,30.181818642369 116.118928672990,30.179523924949 211633 143116 68517
