201709 184968 117.286077259380,31.797219168445 117.311649052840,31.802669589403 251003 167379 83624
201709 335555 118.546739359540,31.618044340991 118.541761130060,31.641423616223 249922 213442 36480
201709 157918 117.112748582420,31.995512646003 117.148844474080,31.865321451111 248808 208289 40519
201709 387845 119.551636274210,30.917026834352 119.651210295920,30.916526329937 247223 199175 48048
201709 387871 119.651881330140,30.916361585797 119.653809453080,30.911381561310 247155 199136 48019
201709 387850 119.651210295920,30.916526329937 119.651881330140,30.916361585797 247152 199134 48018
201709 386308 119.653809453080,30.911381561310 119.518043151530,30.905258549231 247144 199126 48018
201709 200661 117.431521635010,31.834394518155 117.429723407040,31.832947611057 246572 177335 69237
201709 200494 117.429723407040,31.832947611057 117.428284231790,31.831914300135 246518 177285 69233
201709 151238 117.112908929950,31.984507410746 117.111927531180,32.064288824030 245281 213548 31733
201709 199986 117.428284052120,31.831914223440 117.424554826630,31.831515406629 245202 182364 62838
201709 316877 118.480522745140,32.059749750519 118.366177436770,32.121684834009 240748 183175 57573
201709 328671 118.477448204700,32.060846422777 118.480522745140,32.059749750519 240740 183170 57570
201709 176853 117.268477657830,31.726897452002 117.267354147130,31.724206616245 240195 227819 12376
201709 267150 117.764760280890,32.917348449874 117.928720170370,32.851948291795 240041 149811 90230
201709 267740 117.928720170370,32.851948291795 117.929247745200,32.851853431733 239082 148998 90084
201709 131799 117.010555640820,31.954928113356 116.956586344090,31.938100526433 238812 151689 87123
201709 335816 118.545928099830,31.622970084070 118.543016961160,31.563570730937 238064 191092 46972
201709 157722 117.147532948040,31.860100026795 117.147682605740,31.861217280153 236050 199311 36739
201709 269954 117.942767961770,32.847599789170 117.938750290370,32.848977250287 235556 156561 78995
201709 316729 118.366172316430,32.121684451753 118.363861515340,32.122862863497 234573 207667 26906
201709 100988 116.683627411490,32.622377722580 116.611845794460,32.645085020355 234423 191553 42870
201709 119779 116.678753834610,32.623683819162 116.841329884450,32.585693413698 233412 199697 33715
201709 117401 116.956586344090,31.938100526433 116.804330297440,31.903435780591 231356 145660 85696
201709 384311 119.246248422870,30.937213344770 119.400589975590,30.883950758489 229968 189797 40171
201709 240227 117.770394453050,32.913361674794 117.741917898890,32.929077829556 227825 148521 79304
201709 243669 117.774000880180,32.910926254404 117.770394453050,32.913361674794 227370 148144 79226
201709 307150 118.322618153440,31.625238188102 118.284709121940,31.649259013463 226097 142154 83943
201709 141747 117.035074620230,34.132749877343 117.040673219490,34.133977844446 224819 140214 84605
201709 66876 116.566910486750,30.584634847128 116.348627727490,30.448902576849 222545 146838 75707
201709 312017 118.270204452360,31.651286478636 118.323717589560,31.624914187640 222111 152771 69340
201709 218490 117.741917898890,32.929077829556 117.554218040550,32.999103268045 221611 143016 78595
201709 177916 117.245523706290,31.794738325721 117.274482920000,31.798935018468 221469 195547 25922
201709 338402 118.545670375980,31.763691110987 118.570274604570,31.793475014318 220872 180892 39980
201709 338747 118.570274604570,31.793475014318 118.571919581620,31.796968509249 220809 180868 39941
201709 214602 117.525112852200,31.891061635504 117.528557314840,31.892147392029 220721 168944 51777
201709 289456 118.283820338470,31.649575781423 118.098962449270,31.658127643236 218353 138501 79852
201709 265770 117.871910521450,31.689084531517 117.918009853440,31.650654490341 218165 167439 50726
201709 172208 117.244813865270,31.794097963675 117.245523706290,31.794738325721 217724 192308 25416
201709 94621 116.567010468150,30.584492923437 116.570083122150,30.586087881823 216997 136638 80359
201709 151317 117.040673219490,34.133977844446 117.113347033550,34.149641323629 216439 135211 81228
201709 151883 117.113347033550,34.149641323629 117.113566489590,34.149653796596 216169 135027 81142
201709 174482 117.258782426120,33.018474072292 117.254881893770,33.018281230896 214269 122661 91608
201709 328712 118.480719563880,31.353087776712 118.479925461810,31.351312196594 214229 137943 76286
201709 324925 118.323717589560,31.624914187640 118.436389085260,31.614664423405 213411 145374 68037
201709 152073 117.111927531180,32.064288824030 117.114622896870,32.190761536317 213337 190858 22479
201709 329331 118.436389085260,31.614664423405 118.488790749050,31.621772823018 212946 144975 67971
201709 151729 117.112953036750,31.997905427938 117.112748582420,31.995512646003 212368 179439 32929
201709 177707 117.274905123590,31.798907168002 117.270781092820,31.724541477715 211987 181529 30458
201709 197021 117.554218040550,32.999103268045 117.395785245210,33.007164279394 211857 137964 73893
201709 328145 118.356050748930,32.126843387139 118.477237462230,32.061234137424 211789 159991 51798
201709 328323 118.477237462230,32.061234137424 118.477448204700,32.060846422777 211503 159736 51767
201709 351991 118.886282762640,30.982900922011 118.753417718390,31.007520540992 210382 145684 64698
201709 328987 118.566002892380,31.259687212715 118.483228441340,31.340421447202 210049 148618 61431
201709 122948 117.051491422910,34.136015626501 116.873326448750,34.098597068433 209063 131774 77289
201709 143148 117.053208803390,34.136355438772 117.051491422910,34.136015626501 209056 131769 77287
201709 306900 118.284709121940,31.649259013463 118.283820338470,31.649575781423 208700 129059 79641
201709 190218 117.377803504500,30.514956581390 117.347693291940,30.499799774592 208225 125064 83161
201709 171938 117.251357571760,31.795647147223 117.243076093270,31.793404041250 208146 190478 17668
201709 156542 117.114622896870,32.190761536317 117.139920976640,32.376962062023 207578 185911 21667
201709 213349 117.373403065130,30.510943665339 117.521955577820,30.616033838181 206910 124027 82883
201709 171866 117.243076093270,31.793404041250 117.241997497840,31.793710107418 205958 188588 17370
201709 50962 116.119414835930,30.181818642369 116.119203105320,30.173398300275 205471 128072 77399
201709 165092 117.204136076530,31.266506782738 117.202127285750,31.317586633200 205172 137182 67990
201709 327800 118.469756733260,31.353579715350 118.473333067160,31.350733589619 204737 153342 51395
201709 65380 116.119203105320,30.173398300275 116.345495246340,30.446236666220 204589 127286 77303
201709 328220 118.476233515990,31.342819072635 118.478024557520,31.346836591501 203766 165549 38217
201709 120654 117.017835418850,32.530821587974 116.848260491120,32.582493745720 203397 171819 31578
201709 335413 118.571919581620,31.796968509249 118.541933604720,31.725308099328 202503 166339 36164
201709 246552 117.950444162010,30.909965775323 117.793034985800,30.823836215431 202309 144403 57906
201709 272925 117.529239847370,31.893447278362 117.956277578330,32.015880396522 202181 145674 56507
201709 194366 117.264021703180,33.018646478800 117.386912412200,33.005920329266 201955 115295 86660
201709 277869 117.920582690250,31.647892641354 117.980394116870,31.609690185628 201044 128871 72173
201709 95466 116.574579500550,30.589042848948 116.566910486750,30.584634847128 200775 136543 64232
201709 288054 117.980665225470,31.609314235448 118.089396573550,31.659075239715 200745 138389 62356
201709 266732 117.994217062390,31.601987206221 117.921463299140,31.648773715455 200275 135265 65010
201709 127938 116.798270418300,31.901512367590 116.947495043180,31.935232117616 199247 145944 53303
201709 211142 117.502215853220,31.875906141862 117.505105073230,31.878363854872 199213 153622 45591
201709 125166 117.207036255870,31.274489813211 116.894969233570,30.801015807081 198633 139774 58859
201709 168062 117.270781092820,31.724541477715 117.215225388560,31.631900968445 198266 169963 28303
201709 342322 118.555846919780,31.269591523189 118.615897205830,31.158578179315 197986 145397 52589
201709 254133 117.626381257760,31.718423018060 117.853942704470,31.626088270732 196951 141498 55453
201709 254294 117.853942704470,31.626088270732 117.854103052000,31.626077201798 196937 141486 55451
201709 168061 117.267495091270,31.722634263673 117.215223681780,31.631897817073 196439 172646 23793
201709 101088 116.570083122150,30.586087881823 116.630537466020,30.634520137528 196301 125647 70654
201709 137607 117.118647485210,31.990661585759 117.013963003450,31.955711262903 196230 123942 72288
201709 304540 118.089396573550,31.659075239715 118.269374597730,31.651227306764 195841 134073 61768
201709 310160 118.358593941660,32.125816546857 118.301031422890,32.127609993167 195058 171228 23830
201709 316664 118.363861515340,32.122862863497 118.358593941660,32.125816546857 194414 170751 23663
201709 386114 119.400589975590,30.883950758489 119.512168413150,30.900430318580 194306 161874 32432
201709 333918 118.543016961160,31.563570730937 118.531512991310,31.500812871827 194083 150540 43543
201709 93481 116.345495246340,30.446236666220 116.566248255930,30.584104769620 193710 118306 75404
201709 155678 117.139920976640,32.376962062023 117.132963780120,32.411702490216 193444 173413 20031
201709 304731 118.269374597730,31.651227306764 118.270204452360,31.651286478636 193070 131817 61253
201709 347430 118.753417718390,31.007520540992 118.681626130170,30.996751761377 193033 133656 59377
201709 290054 118.216951105120,31.467477951832 118.105904464420,31.547572431217 192624 129177 63447
201709 386646 119.512168413150,30.900430318580 119.551586777570,30.917023736221 192509 161392 31117
201709 266733 117.991431327180,31.607487126492 117.921464017780,31.648774176547 192415 119028 73387
201709 305725 117.956277578330,32.015880396522 118.293588243090,32.124722190756 192191 137381 54810
201709 51059 116.348627727490,30.448902576849 116.119644981800,30.184291797303 192181 122022 70159
201709 157728 117.148358850120,31.857717038873 117.147533217530,31.860100103467 191413 165463 25950
201709 66426 116.611845794460,32.645085020355 116.345700778640,32.661506273798 190805 153138 37667
201709 165528 117.202127285750,31.317586633200 117.204795971760,31.517823875192 190487 128115 62372
201709 94266 116.566248255930,30.584104769620 116.567010468150,30.584492923437 190360 115447 74913
201709 192664 117.507774028740,31.945109488357 117.365060591690,32.011646989855 190102 118958 71144
201709 66654 116.553866192440,31.861762637742 116.347497120170,31.853010148305 190039 113167 76872
201709 215019 117.537696315780,31.897679521617 117.530755917580,31.894466327237 189935 155654 34281
201709 212088 117.530755917580,31.894466327237 117.509873278880,31.883115429593 189511 155308 34203
201709 142816 117.050397017310,34.136150236847 117.047906734780,34.136166372145 187760 85504 102256
201709 280244 118.098962449270,31.658127643236 117.995137825540,31.609609229615 187515 114884 72631
201709 143147 117.053208803390,34.136355438772 117.050397017310,34.136150236847 186641 84626 102015
201709 129781 116.943638707450,33.713720214026 116.948007077320,33.622867216369 186430 112832 73598
201709 361041 118.897011584670,30.960067982743 118.893857634020,30.960369061117 186205 129467 56738
201709 166145 117.204795971760,31.517823875192 117.209418023100,31.626941420193 185670 124026 61644
201709 281656 118.105904464420,31.547572431217 117.996211210800,31.601251618720 183173 122256 60917
201709 211613 117.533977151310,31.890236157576 117.507665243940,31.944791060608 182931 107742 75189
201709 215391 117.535783104710,31.887787272407 117.533947417400,31.890636404167 182876 149266 33610
201709 280371 117.996211210800,31.601251618720 117.994217062390,31.601987206221 182705 121833 60872
201709 300671 118.249964012270,31.066806320648 118.228483910580,31.058639164901 181942 126895 55047
201709 336342 118.541761130060,31.641423616223 118.545746731950,31.719470971438 181916 149661 32255
201709 210950 117.503820855680,31.877193304579 117.501634110570,31.875644046293 181744 151575 30169
201709 337027 118.473333067160,31.350733589619 118.554010603660,31.271024361905 179531 133614 45917
201709 175640 117.209418023100,31.626941420193 117.264106503220,31.717867130263 179431 119911 59520
201709 212090 117.533947417400,31.890636404167 117.509875344980,31.883116349422 179193 146977 32216
201709 215593 117.535888026790,31.887527127189 117.533977151310,31.890236157576 178854 105706 73148
201709 176599 117.395785245210,33.007164279394 117.263610818240,33.018714215241 178659 116500 62159
201709 346910 118.538873167680,31.621095431576 118.677579174010,31.644565924620 178571 115173 63398
201709 323023 118.480976658910,31.342871965271 118.415736412780,31.372418754701 177862 124444 53418
201709 153061 117.120673433630,31.991224313762 117.118188630760,31.990788295566 177174 142687 34487
201709 147184 117.081234318350,30.484346946831 117.089005738980,30.475514290555 176732 140728 36004
201709 321037 118.479925461810,31.351312196594 118.398657738590,31.212469973400 175647 111001 64646
201709 329462 118.531512991310,31.500812871827 118.488112258900,31.383886092605 174690 132854 41836
201709 360328 118.893857634020,30.960369061117 118.886282762640,30.982900922011 173917 119937 53980
201709 165180 117.215225388560,31.631900968445 117.203808913660,31.525206833289 173781 149286 24495
201709 128135 117.254881893770,33.018281230896 116.930496408010,33.071165488018 172692 97970 74722
201709 329220 118.478024557520,31.346836591501 118.486864332890,31.379738841272 172555 136739 35816
