timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525692447891343,-6,15,-9,-2,-1,1,-3,-2
1525692447913344,3,-5,19,-2,-5,-7,-1,-5
1525692447913344,1,22,1,1,1,1,0,4
1525692447914344,1,-13,3,1,2,3,-2,4
1525692447914344,-1,-34,-8,-1,0,-1,-1,-2
1525692447936345,-2,12,3,1,-2,-8,-1,-3
1525692447936345,-1,-2,32,-2,-2,3,-1,-8
1525692447937345,1,-12,-58,-2,-1,-7,-1,7
1525692447937345,2,6,-2,-4,-3,4,0,0
1525692447950346,-4,-26,4,3,1,2,-1,6
1525692447950346,1,17,10,-4,-4,-7,-4,-11
1525692447951346,4,-14,31,4,4,2,14,14
1525692447951346,-1,3,-55,-1,-1,2,-4,-2
1525692447973347,-6,-24,21,-3,-1,-2,-1,-2
1525692447973347,4,-5,-29,-4,-1,1,-2,5
1525692447974347,2,30,18,1,-2,-1,-1,-2
1525692447974347,-3,-35,4,-1,-2,-3,-2,-13
1525692447996349,-3,33,32,1,-4,-1,0,7
1525692447996349,-5,-1,-9,-4,-4,-6,1,-7
1525692447997349,1,-9,-16,-1,-3,-42,-5,3
1525692447997349,-9,-6,-14,0,4,46,1,-4
1525692448010349,1,8,-4,2,2,-5,-2,-5
1525692448010349,-1,-14,-6,0,-1,-5,-1,-2
1525692448011350,0,6,4,1,-3,1,-1,-2
1525692448011350,3,4,18,-2,-2,-16,-1,6
1525692448033351,0,25,2,0,0,1,-1,-6
1525692448033351,0,-23,12,-1,-1,7,1,-3
1525692448034351,-4,-100,-49,0,2,2,-2,1
1525692448034351,1,34,-17,-3,-4,-6,2,-1
1525692448056352,2,14,2,-2,-2,6,2,15
1525692448056352,0,18,-20,1,-2,-8,-6,-33
1525692448057352,-1,23,52,-2,1,6,0,-1
1525692448057352,4,21,46,6,1,-7,-3,4
1525692448070353,-4,-45,-12,-5,-2,2,11,8
1525692448070353,-4,5,-17,1,2,-2,-24,-3
1525692448071353,-4,8,1,3,-2,7,-2,-10
1525692448071353,3,8,-9,-2,0,-5,1,-3
1525692448092354,6,11,-1,-2,0,-5,-1,4
1525692448092354,-1,-22,-3,-2,-1,-16,5,4
1525692448101355,-2,0,1,-4,-1,25,0,-4
1525692448101355,0,11,2,0,-1,-8,-3,7
1525692448116356,-5,-9,-13,0,-1,-5,-7,-13
1525692448116356,-3,-28,20,-4,-2,-3,3,0
1525692448118356,4,48,2,1,-1,3,2,1
1525692448118356,-3,-39,-64,-7,-3,11,3,3
1525692448138357,4,11,8,4,2,10,-1,-2
1525692448138357,-3,-14,4,-2,0,-3,4,0
1525692448140357,-1,16,9,0,-1,-6,-6,4
1525692448140357,-1,12,27,3,2,6,0,-3
1525692448152358,0,-3,-11,-2,2,-10,3,23
1525692448152358,2,25,5,-2,-2,5,-6,-19
1525692448161358,1,-11,5,1,-3,-12,1,-3
1525692448161358,-6,-29,-10,-5,-3,0,-4,-1
1525692448176359,4,8,-9,3,0,0,0,6
1525692448176359,-3,-13,-1,-1,0,17,9,13
1525692448178359,-4,2,2,-5,-3,-9,-2,1
1525692448178359,0,-8,-28,-2,2,-3,-3,-5
1525692448198360,-7,-16,8,-3,-3,-3,-4,-14
1525692448198360,3,50,16,5,1,11,1,6
1525692448200360,4,-11,41,4,3,20,0,8
1525692448200360,-10,-48,-75,-11,-3,-8,5,-5
1525692448212361,0,16,24,-3,1,6,-16,-29
1525692448212361,1,19,9,-1,-2,8,-24,28
1525692448221362,-1,28,8,2,-1,-68,19,-14
1525692448221362,1,-2,55,4,3,75,-3,-2
1525692448236362,2,-3,-37,-2,-4,-32,23,40
1525692448236362,-2,1,-21,-2,0,24,-12,-64
1525692448238362,-1,-22,0,-3,-3,-42,-13,13
1525692448238362,10,15,8,2,3,-16,19,9
1525692448260364,2,-7,-6,0,1,17,-23,-10
1525692448260364,3,-1,7,-2,0,-12,-16,-10
1525692448262364,-12,-8,-17,-2,-2,12,1,-77
1525692448262364,15,4,1,-1,-3,-20,30,29
1525692448272364,-2,9,24,0,2,11,-61,48
1525692448272364,-11,-2,-9,2,-2,-24,12,-78
1525692448281365,10,-3,-19,-2,-4,34,-19,42
1525692448281365,-4,13,21,0,-1,-42,1,-50
1525692448296366,5,-8,5,3,-2,11,52,2
1525692448296366,1,-18,-26,-6,1,-29,6,22
1525692448298366,-16,-7,-10,-3,-5,17,-36,-31
1525692448298366,-2,23,32,6,2,-16,56,9
1525692448318367,8,-24,-5,0,3,7,6,0
1525692448318367,-2,-14,-6,-2,-6,-33,-58,28
1525692448320367,12,9,-4,0,9,104,91,30
1525692448320367,-11,13,16,0,-2,5,-97,13
1525692448341368,-14,-24,-21,-7,-14,-57,112,-61
1525692448341368,7,-3,-2,-1,2,92,50,18
1525692448343369,-4,10,0,-4,-3,-27,47,-35
1525692448343369,21,4,20,10,5,-50,-13,70
1525692448355369,-26,0,-5,-3,2,25,5,-50
1525692448355369,-2,10,0,5,-2,-13,-14,-54
1525692448362370,-28,-19,-6,-9,-7,2,19,102
1525692448362370,-15,-1,-4,-2,-8,-53,17,10
1525692448378371,8,20,11,1,1,63,-79,92
1525692448378371,32,-3,-6,0,2,-41,76,127
1525692448380371,-25,1,-1,3,1,9,-78,-59
1525692448380371,-24,-3,-7,1,3,0,-11,-63
1525692448401372,35,7,5,-1,-3,-36,42,34
1525692448401372,-27,17,12,-4,3,70,-69,-80
1525692448403372,40,15,0,3,-5,-100,-50,91
1525692448403372,3,-10,6,0,0,36,41,50
1525692448415373,-31,-8,-14,-6,6,100,82,-54
1525692448415373,6,23,9,11,2,-44,-45,25
