20170929|2817|115.073325403460,32.850822703445;115.075478731590,32.851445630873|794|283|511
20170929|2836|115.074518173510,32.851259170162;115.073302227170,32.850885868411|794|283|511
20170929|2860|115.075478731590,32.851445630873;115.077124337460,32.851860635338|794|283|511
20170929|2867|115.076342811660,32.851747045785;115.074518173510,32.851259170162|794|283|511
20170929|2882|115.077124337460,32.851860635338;115.078271653250,32.852119737260|794|283|511
20170929|2902|115.078258088840,32.852192834650;115.076342811660,32.851747045785|794|283|511
20170929|2904|115.078271653250,32.852119737260;115.079878452320,32.852430628227|794|283|511
20170929|2961|115.079864798080,32.852503649532;115.078258088840,32.852192834650|794|283|511
20170929|2962|115.079878452320,32.852430628227;115.081535915820,32.852699434287|794|283|511
20170929|2991|115.081532142930,32.852772455368;115.079864798080,32.852503649532|794|283|511
20170929|2993|115.081535915820,32.852699434287;115.083523776080,32.852946628979|794|283|511
20170929|3027|115.083519913370,32.853019574028;115.081532142930,32.852772455368|794|283|511
20170929|3028|115.083523776080,32.852946628979;115.085212859930,32.853089865094|794|283|511
20170929|3047|115.085208907390,32.853172743269;115.083519913370,32.853019574028|794|283|511
20170929|3048|115.085212859930,32.853089865094;115.085542807540,32.853120195634|794|283|511
20170929|3050|115.085538765170,32.853202997954;115.085208907390,32.853172743269|794|283|511
20170929|3052|115.085542807540,32.853120195634;115.088463288590,32.853248493701|794|283|511
20170929|3096|115.087128676090,32.853282994626;115.085538765170,32.853202997954|794|283|511
20170929|3111|115.088463288590,32.853248493701;115.090805350710,32.853231432798|794|283|511
20170929|3124|115.089269607610,32.853329248594;115.087128676090,32.853282994626|794|283|511
20170929|3132|115.090805350710,32.853231432798;115.093158821320,32.853129294793|794|283|511
20170929|3146|115.092052737740,32.853268132691;115.089269607610,32.853329248594|794|283|511
20170929|3181|115.093158821320,32.853129294793;115.096305675350,32.852805439949|794|283|511
20170929|3183|115.093174541670,32.853201633081;115.092052737740,32.853268132691|794|283|511
20170929|3239|115.096305675350,32.852805439949;115.098170916910,32.852527459165|794|283|511
20170929|3241|115.096321395700,32.852877626849;115.093174541670,32.853201633081|794|283|511
20170929|3265|115.098170916910,32.852527459165;115.100920001260,32.852016157245|794|283|511
20170929|3275|115.099129408890,32.852439424151;115.096321395700,32.852877626849|794|283|511
20170929|3301|115.100920001260,32.852016157245;115.103489873670,32.851382238825|794|283|511
20170929|3304|115.100945513140,32.852088041485;115.099129408890,32.852439424151|794|283|511
20170929|3425|115.103489873670,32.851382238825;115.106673648060,32.850514915762|794|283|511
20170929|3427|115.103515295710,32.851454047756;115.100945513140,32.852088041485|794|283|511
20170929|3591|115.106673648060,32.850514915762;115.110250610770,32.849706351852|794|283|511
20170929|3599|115.106709041290,32.850586497916;115.103515295710,32.851454047756|794|283|511
20170929|3689|115.109250886560,32.849995260940;115.106709041290,32.850586497916|794|283|511
20170929|3716|115.110250610770,32.849706351852;115.111456585910,32.849495697856|794|283|511
20170929|3718|115.110275763320,32.849777934665;115.109250886560,32.849995260940|794|283|511
20170929|3750|115.111456585910,32.849495697856;115.114301070310,32.849055582549|794|283|511
20170929|3751|115.111471587610,32.849567356669;115.110275763320,32.849777934665|794|283|511
20170929|3798|115.114301070310,32.849055582549;115.117306620890,32.848711693539|794|283|511
20170929|3799|115.114315982180,32.849127165892;115.111471587610,32.849567356669|794|283|511
20170929|3852|115.117306620890,32.848711693539;115.119930032300,32.848554952501|794|283|511
20170929|3853|115.117311381900,32.848783428822;115.114315982180,32.849127165892|794|283|511
20170929|3995|115.119930032300,32.848554952501;115.122342072420,32.848502932917|794|283|511
20170929|3996|115.119934703490,32.848626612081;115.117311381900,32.848783428822|794|283|511
20170929|4072|115.122336592760,32.848574668370;115.119934703490,32.848626612081|794|283|511
20170929|4074|115.122342072420,32.848502932917;115.122794279420,32.848505207826|794|283|511
20170929|4112|115.122788709920,32.848576867448;115.122336592760,32.848574668370|794|283|511
20170929|4113|115.122794279420,32.848505207826;115.124864065140,32.848550630175|794|283|511
20170929|4196|115.124858405820,32.848622213929;115.122788709920,32.848576867448|794|283|511
20170929|4197|115.124864065140,32.848550630175;115.126792727070,32.848649967784|794|283|511
20170929|4227|115.126786977920,32.848721475627;115.124858405820,32.848622213929|794|283|511
20170929|4228|115.126792727070,32.848649967784;115.129985933670,32.848933193098|794|283|511
20170929|4267|115.129980094680,32.849004624880;115.126786977920,32.848721475627|794|283|511
